"VisitID","D16","D50","D84","D16_cm.org","D50_cm.org","D84_cm.org"
1009,7.32803014363613,53.0392444099751,218.702885241517,7,54,223
1010,21.016965485301,34.2580378934132,55.3527037054678,21,34,56
1011,11.2136079097729,22.8899237218599,41.3726536125908,11,23,42
1012,4.70776557584148,35.4461229006386,126.082328657749,5,36,130
1013,6.23572372548683,39.3095488994609,127.662314450795,7,40,132
1014,27.2206352315342,42.480327855775,63.7749753443285,28,43,64
1015,2.59068450378389,22.5,64.3979466688104,3,23,65
1016,2.87222917502914,21.4304222091521,43.4324181706177,2,22,44
1017,22.1197080888807,58.8517186546415,249.325905967024,23,60,258
1018,6.09983211218794,25.2288202595106,51.5807205432286,7,25,52
1019,14.8308302812468,45.7611235095286,92.5720553303007,15,46,94
1020,18.7222266723409,37.3638079207748,62.2218009468202,19,38,63
1021,22.7814503635536,64.7077329978707,129.757500461261,23,65,134
1022,28.1585977273224,91.2769685064478,285.487711823447,29,93,292
1025,0.00587878153206153,16,40.9389878009987,0.02,16,41
1026,6.35307083599355,37.4529933215227,77.6089648035982,7,38,79
1027,14.5153780587984,44.1557044062159,100.737715238816,16,45,103
1028,0.0350107093169507,14.6204609477849,41.4646023937812,0.05,15,42
1029,16.7641358573174,41.5952976470021,79.7256470029027,17,42,81
1030,8.20992370497543,28.1530497212172,62.1370234007344,9,28,63
1031,9.55491674962917,37.678760700625,63.7128742855236,10,38,64
1032,22.2457524584528,41.8513861426208,68.1946397058035,23,42,69
1034,5.34255139879348,45,104.594446441559,4,47,118
1037,4.29361366218623,59.4718917297561,268.878669881739,5,60,273
1039,37.3059513274204,125.649004095969,248.77764890791,39,127,252
1040,6.3638476386763,71.7024759449147,280.779196379237,7,74,285
1041,6.18310308572432,45,171.35062562026,6,46,175
1042,11.4982175251685,84.0678619412041,287.605652103321,12,86,292
1043,5.58580068369207,66.0146316714403,292.023656988688,6,68,295
1044,4.06117829981373,51.1489879163877,323.049360724136,4,53,331
1045,4.38583062775553,32,71.2383601341477,5,32,72
1046,5.50165520577934,33.190502024845,67.8010954519292,6,34,69
1047,41.5589521434536,217.197664260719,410.789368537843,44,220,415
1048,23.5707945726149,37.2353593634067,57.3151470482337,24,37,58
1049,25.2490240496654,52.3323210101068,90.578210428141,26,53,92
1050,37.0621630908008,70.9974065535523,125.239278053259,38,72,126
1051,27.5349227227774,57.9362043869966,125.694094867393,28,58,127
1052,0.00308028618303655,20.7976488235011,95.7220112101517,0.02,21,100
1053,3.45016812796876,38.6224351872424,107.180152269006,4,39,109
1054,0.543737541039155,25.0754900360008,58.317186649922,0.61,25,59
1055,6.60188688916625,59.8085336422574,133.632657674889,7,61,136
1056,25.9955599577318,102.708244675274,288.883950738547,27,104,293
1059,4.39619844682377,87.6704192963761,251.073213573633,5,90,254
1061,4.92019740279233,73.0734898448804,382.268240512438,5,74,387
1063,2.07771820659533,58.6054640237553,401.502991943601,2,61,406
1064,2.67248494017632,45.6652834751762,186.95880517985,3,46,192
1066,30.5319341441221,124.297582297837,252.814001291942,33,126,255
1067,19.6316816982371,104.121253895935,261.456187375326,21,105,265
1068,4.29361366218623,111.783146763658,570.000001333334,4,115,565
1069,32.1989733344053,61.4889827142245,97.5692794823993,33,62,98
1070,15.6332958501826,58.8122484919768,127.206863322169,16,60,130
1071,5.61097895078245,41.4915375868079,81.7403733595608,6,42,83
